level_0,index,SubjectID,VideoID,predefinedlabel,user-definedlabeln,Attention,Mediation,Raw,Delta,Theta,Alpha1,Alpha2,Beta1,Beta2,Gamma1,Gamma2
0,0,0.0,0.0,0.0,0.0,55.25694444444444,53.826388888888886,46.986111111111114,544315.0972222222,124965.59027777778,36693.70138888889,25875.29861111111,20108.791666666668,40268.76388888889,40729.28472222222,16817.0625
1,1,0.0,1.0,0.0,1.0,43.621428571428574,48.621428571428574,28.8,739737.2928571429,161064.22857142857,34918.02857142857,25078.935714285715,22157.307142857142,37410.72857142857,36758.7,14519.407142857142
2,2,0.0,2.0,0.0,1.0,43.978873239436616,47.316901408450704,13.154929577464788,694078.0845070423,149816.87323943662,30493.87323943662,21667.591549295776,21888.338028169015,36446.43661971831,33908.873239436616,14545.845070422536
3,3,0.0,3.0,0.0,0.0,51.057377049180324,51.84426229508197,34.71311475409836,600823.6885245901,162653.3606557377,33367.27868852459,26281.5,17224.27868852459,43706.524590163935,41438.2131147541,16558.631147540982
4,4,0.0,4.0,0.0,0.0,55.224137931034484,47.474137931034484,30.00862068965517,546628.0172413794,126893.94827586207,23113.844827586207,17017.05172413793,15955.879310344828,36427.83620689655,36024.81896551724,14752.655172413793
5,5,0.0,5.0,1.0,1.0,49.8130081300813,41.048780487804876,38.80487804878049,935209.0487804879,282487.51219512196,70498.08943089431,40760.39837398374,28621.52845528455,41453.46341463415,54069.455284552845,22656.227642276423
6,6,0.0,6.0,1.0,1.0,33.58620689655172,44.310344827586206,44.224137931034484,785092.6034482758,212861.87931034484,35401.0,24325.224137931036,19985.818965517243,30956.370689655174,30169.21551724138,14366.318965517241
7,7,0.0,7.0,1.0,0.0,48.0,50.24107142857143,28.267857142857142,477990.0089285714,114145.27678571429,25727.714285714286,16241.580357142857,15278.625,37795.61607142857,36331.42857142857,13718.25
8,8,0.0,8.0,1.0,1.0,55.54838709677419,52.87903225806452,29.56451612903226,914415.4596774194,198926.0483870968,42279.81451612903,25929.185483870966,20326.217741935485,36773.4435483871,45424.58870967742,17554.927419354837
9,9,0.0,9.0,1.0,0.0,49.9344262295082,47.27049180327869,37.28688524590164,602249.393442623,130773.5,26457.377049180326,20616.622950819674,20124.450819672133,29241.04098360656,28180.090163934427,11692.38524590164
10,10,1.0,0.0,0.0,0.0,52.457142857142856,62.52142857142857,39.57857142857143,265910.47857142857,83320.41428571429,21728.27857142857,17171.64285714286,19311.535714285714,9348.907142857142,5576.492857142857,3926.2214285714285
11,11,1.0,1.0,0.0,1.0,40.098591549295776,57.92253521126761,25.802816901408452,478649.5352112676,143226.67605633804,33745.85211267605,22900.570422535213,20389.788732394365,12891.56338028169,5174.669014084507,3662.007042253521
12,12,1.0,2.0,0.0,1.0,34.721311475409834,53.82786885245902,54.9344262295082,620691.1475409836,153239.77049180327,38835.54098360656,24016.475409836065,19946.60655737705,14199.893442622952,5217.9672131147545,3640.0245901639346
13,13,1.0,3.0,0.0,1.0,15.905172413793103,35.560344827586206,35.810344827586206,844329.551724138,281278.8534482759,67715.22413793103,39676.775862068964,28128.543103448275,26739.603448275862,13088.48275862069,3338.301724137931
14,14,1.0,4.0,0.0,1.0,46.86805555555556,59.861111111111114,31.65277777777778,402074.4375,140224.91666666666,32657.0,26385.07638888889,24590.4375,15990.791666666666,10063.416666666666,7354.125
15,15,1.0,5.0,1.0,0.0,63.65040650406504,58.1869918699187,35.333333333333336,324659.52032520325,92079.60162601626,24880.62601626016,22122.788617886177,18937.0,14467.19512195122,8555.357723577235,7150.1869918699185
16,16,1.0,6.0,1.0,0.0,46.42741935483871,63.75806451612903,31.64516129032258,322961.18548387097,93126.89516129032,24797.395161290322,16542.129032258064,14936.120967741936,10119.395161290322,4401.4112903225805,2985.185483870968
17,17,1.0,7.0,1.0,0.0,52.459016393442624,60.5655737704918,22.704918032786885,405838.5573770492,112300.67213114754,27397.467213114753,21279.819672131147,21255.590163934427,12710.073770491803,8463.877049180328,5141.5
18,18,1.0,8.0,1.0,0.0,51.88549618320611,61.778625954198475,33.908396946564885,358530.4961832061,88813.46564885497,24502.931297709925,19367.30534351145,17690.580152671755,10936.129770992366,5227.366412213741,4574.702290076336
19,19,1.0,9.0,1.0,0.0,48.35036496350365,62.32846715328467,26.364963503649633,320001.299270073,87977.08029197081,25621.839416058396,21975.525547445257,22294.87591240876,10122.357664233577,5109.262773722628,3392.7518248175184
20,20,2.0,0.0,0.0,0.0,61.00714285714286,53.34285714285714,31.05,14242.242857142857,14054.807142857142,5972.6,6495.471428571429,5498.307142857143,6129.835714285714,3283.6428571428573,2811.5071428571428
21,21,2.0,1.0,0.0,1.0,56.78169014084507,60.07746478873239,31.08450704225352,37948.92957746479,17893.12676056338,7904.915492957746,9252.74647887324,6136.183098591549,7154.845070422535,3491.4084507042253,2495.612676056338
22,22,2.0,2.0,0.0,0.0,60.80327868852459,66.18852459016394,26.270491803278688,27660.360655737706,17323.950819672133,6715.729508196721,8158.516393442623,5926.573770491803,6036.811475409836,2917.934426229508,2150.0819672131147
23,23,2.0,3.0,0.0,0.0,42.5,62.94827586206897,36.008620689655174,17215.560344827587,15320.431034482759,6635.698275862069,6400.9655172413795,5858.879310344828,5187.362068965517,2585.198275862069,1771.4655172413793
24,24,2.0,4.0,0.0,1.0,65.27083333333333,60.99305555555556,33.69444444444444,29439.777777777777,18574.79861111111,8592.3125,11368.604166666666,12805.777777777777,17144.604166666668,10421.013888888889,7326.020833333333
25,25,2.0,5.0,1.0,1.0,77.02439024390245,64.88617886178862,43.99186991869919,96940.10569105692,38518.95121951219,13135.28455284553,11523.105691056911,15234.991869918698,12903.845528455284,8437.260162601626,6483.878048780488
26,26,2.0,6.0,1.0,0.0,55.689655172413794,55.73275862068966,32.35344827586207,17131.112068965518,12021.172413793103,5660.896551724138,6346.620689655172,5865.491379310345,6265.732758620689,2702.189655172414,2364.2413793103447
27,27,2.0,7.0,1.0,1.0,43.1858407079646,61.63716814159292,34.56637168141593,103420.30973451327,23207.690265486726,9708.150442477876,9016.017699115044,10104.38053097345,10381.902654867257,6219.088495575221,5255.566371681416
28,28,2.0,8.0,1.0,1.0,52.85496183206107,58.541984732824424,37.29770992366412,31053.14503816794,19107.053435114503,6374.274809160305,6283.679389312977,6249.488549618321,6468.755725190839,3251.648854961832,2629.030534351145
29,29,2.0,9.0,1.0,0.0,42.175182481751825,65.05109489051095,33.45255474452555,30096.36496350365,17538.700729927008,7317.204379562044,7279.430656934306,6116.343065693431,5714.262773722628,2496.897810218978,2083.167883211679
30,30,3.0,0.0,0.0,0.0,33.81428571428572,47.65,27.014285714285716,833621.0142857142,238739.65,61270.328571428574,52673.235714285714,23399.514285714286,38548.59285714286,24674.935714285715,3520.635714285714
31,31,3.0,1.0,0.0,0.0,62.45774647887324,55.21830985915493,29.049295774647888,529546.2394366197,151072.24647887325,35184.7323943662,21492.591549295776,16560.556338028167,13145.338028169013,7770.950704225352,5080.943661971831
32,32,3.0,2.0,0.0,0.0,62.206896551724135,51.30172413793103,36.37931034482759,655584.8189655172,132953.12068965516,27535.353448275862,19943.30172413793,15396.965517241379,14293.318965517241,7592.112068965517,4698.336206896552
33,33,3.0,3.0,0.0,0.0,0.0,0.0,44.15972222222222,679609.4305555555,132381.78472222222,42858.180555555555,23484.26388888889,14489.0625,51326.98611111111,13870.298611111111,1893.5277777777778
34,34,3.0,4.0,0.0,1.0,34.36805555555556,52.59027777777778,35.19444444444444,956380.1527777778,324912.5833333333,73579.26388888889,44603.229166666664,33291.118055555555,24861.694444444445,13403.972222222223,7603.034722222223
